Age;Fare;PassengerId;Pclass;Sex;Survived;Embarked_C;Embarked_Q;Embarked_S;pca_sibsp_parch
22;7;1;3;0;0;0;0;1;0.2226269457088483
38;71;2;1;1;1;1;0;0;0.22262694570885094
26;7;3;3;1;1;0;0;1;-0.6277626505388526
35;53;4;1;1;1;0;0;1;0.22262694570885086
35;8;5;3;0;0;0;0;1;-0.6277626505388526
30;8;6;3;0;0;0;1;0;-0.6277626505388526
54;51;7;1;0;0;0;0;1;-0.6277626505388526
2;21;8;3;0;0;0;0;1;2.4495596657926115
27;11;9;3;1;1;0;0;1;0.424544404637854
14;30;10;2;1;1;1;0;0;0.22262694570885086
4;16;11;3;1;1;0;0;1;0.7487804732972041
58;26;12;1;1;1;0;0;1;-0.6277626505388526
20;8;13;3;0;0;0;0;1;-0.6277626505388526
39;31;14;3;0;0;0;0;1;2.853394583650618
14;7;15;3;1;0;0;0;1;-0.6277626505388526
55;16;16;2;1;1;0;0;1;-0.6277626505388526
2;29;17;3;0;0;0;1;0;3.2999492620403146
30;13;18;2;0;1;0;0;1;-0.6277626505388526
31;18;19;3;1;0;0;0;1;0.22262694570885086
30;7;20;3;1;1;1;0;0;-0.6277626505388526
35;26;21;2;0;0;0;0;1;-0.6277626505388526
34;13;22;2;0;1;0;0;1;-0.6277626505388526
15;8;23;3;1;1;0;1;0;-0.6277626505388526
28;35;24;1;0;1;0;0;1;-0.6277626505388526
8;21;25;3;1;0;0;0;1;2.4495596657926115
38;31;26;3;1;1;0;0;1;2.853394583650618
30;7;27;3;0;0;1;0;0;-0.6277626505388526
19;263;28;1;0;0;0;0;1;2.975713193380964
30;7;29;3;1;1;0;1;0;-0.6277626505388526
30;7;30;3;0;0;0;0;1;-0.6277626505388526
40;27;31;1;0;0;1;0;0;-0.6277626505388526
30;146;32;1;1;1;1;0;0;0.22262694570885086
30;7;33;3;1;1;0;1;0;-0.6277626505388526
66;10;34;2;0;0;0;0;1;-0.6277626505388526
28;82;35;1;0;0;1;0;0;0.22262694570885086
42;52;36;1;0;0;0;0;1;0.22262694570885086
30;7;37;3;0;1;1;0;0;-0.6277626505388526
21;8;38;3;0;0;0;0;1;-0.6277626505388526
18;18;39;3;1;0;0;0;1;1.0730165419565543
14;11;40;3;1;1;1;0;0;0.22262694570885086
40;9;41;3;1;0;0;0;1;0.22262694570885086
27;21;42;2;1;0;0;0;1;0.22262694570885086
30;7;43;3;0;0;1;0;0;-0.6277626505388526
3;41;44;2;1;1;1;0;0;1.2749340008855574
19;7;45;3;1;1;0;1;0;-0.6277626505388526
30;8;46;3;0;0;0;0;1;-0.6277626505388526
30;15;47;3;0;0;0;1;0;0.22262694570885086
30;7;48;3;1;1;0;1;0;-0.6277626505388526
30;21;49;3;0;0;1;0;0;1.0730165419565543
18;17;50;3;1;0;0;0;1;0.22262694570885086
7;39;51;3;0;0;0;0;1;3.2999492620403146
21;7;52;3;0;0;0;0;1;-0.6277626505388526
49;76;53;1;1;1;1;0;0;0.22262694570885086
29;26;54;2;1;1;0;0;1;0.22262694570885086
65;61;55;1;0;0;1;0;0;-0.10160912295049938
30;35;56;1;0;1;0;0;1;-0.6277626505388526
21;10;57;2;1;1;0;0;1;-0.6277626505388526
28;7;58;3;0;0;1;0;0;-0.6277626505388526
5;27;59;2;1;1;0;0;1;1.2749340008855574
11;46;60;3;0;0;0;0;1;4.676492385876371
22;7;61;3;0;0;1;0;0;-0.6277626505388526
45;83;63;1;0;0;0;0;1;0.22262694570885086
4;27;64;3;0;0;0;0;1;2.975713193380964
30;27;65;1;0;0;1;0;0;-0.6277626505388526
30;15;66;3;0;1;1;0;0;0.7487804732972041
29;10;67;2;1;1;0;0;1;-0.6277626505388526
19;8;68;3;0;0;0;0;1;-0.6277626505388526
17;7;69;3;1;1;0;0;1;3.8261027896286683
26;8;70;3;0;0;0;0;1;1.0730165419565543
32;10;71;2;0;0;0;0;1;-0.6277626505388526
16;46;72;3;1;0;0;0;1;4.676492385876371
21;73;73;2;0;0;0;0;1;-0.6277626505388526
26;14;74;3;0;0;1;0;0;0.22262694570885086
32;56;75;3;0;1;0;0;1;-0.6277626505388526
25;7;76;3;0;0;0;0;1;-0.6277626505388526
30;7;77;3;0;0;0;0;1;-0.6277626505388526
30;8;78;3;0;0;0;0;1;-0.6277626505388526
0;29;79;2;0;1;0;0;1;0.424544404637854
30;12;80;3;1;1;0;0;1;-0.6277626505388526
22;9;81;3;0;0;0;0;1;-0.6277626505388526
29;9;82;3;0;1;0;0;1;-0.6277626505388526
30;7;83;3;1;1;0;1;0;-0.6277626505388526
28;47;84;1;0;0;0;0;1;-0.6277626505388526
17;10;85;2;1;1;0;0;1;-0.6277626505388526
33;15;86;3;1;1;0;0;1;1.9234061382042578
16;34;87;3;0;0;0;0;1;1.8010875284739107
30;8;88;3;0;0;0;0;1;-0.6277626505388526
23;263;89;1;1;1;0;0;1;2.975713193380964
24;8;90;3;0;0;0;0;1;-0.6277626505388526
29;8;91;3;0;0;0;0;1;-0.6277626505388526
20;7;92;3;0;0;0;0;1;-0.6277626505388526
46;61;93;1;0;0;0;0;1;0.22262694570885086
26;20;94;3;0;0;0;0;1;1.2749340008855574
59;7;95;3;0;0;0;0;1;-0.6277626505388526
30;8;96;3;0;0;0;0;1;-0.6277626505388526
71;34;97;1;0;0;1;0;0;-0.6277626505388526
23;63;98;1;0;1;1;0;0;-0.10160912295049938
34;23;99;2;1;1;0;0;1;-0.10160912295049938
34;26;100;2;0;0;0;0;1;0.22262694570885086
28;7;101;3;1;0;0;0;1;-0.6277626505388526
30;7;102;3;0;0;0;0;1;-0.6277626505388526
21;77;103;1;0;0;0;0;1;-0.10160912295049938
33;8;104;3;0;0;0;0;1;-0.6277626505388526
37;7;105;3;0;0;0;0;1;1.0730165419565543
28;7;106;3;0;0;0;0;1;-0.6277626505388526
21;7;107;3;1;1;0;0;1;-0.6277626505388526
30;7;108;3;0;1;0;0;1;-0.6277626505388526
38;7;109;3;0;0;0;0;1;-0.6277626505388526
30;24;110;3;1;1;0;1;0;0.22262694570885086
47;52;111;1;0;0;0;0;1;-0.6277626505388526
14;14;112;3;1;0;1;0;0;0.22262694570885086
22;8;113;3;0;0;0;0;1;-0.6277626505388526
20;9;114;3;1;0;0;0;1;0.22262694570885086
17;14;115;3;1;0;1;0;0;-0.6277626505388526
21;7;116;3;0;0;0;0;1;-0.6277626505388526
70;7;117;3;0;0;0;1;0;-0.6277626505388526
29;21;118;2;0;0;0;0;1;0.22262694570885086
24;247;119;1;0;0;1;0;0;-0.10160912295049938
2;31;120;3;1;0;0;0;1;3.8261027896286683
21;73;121;2;0;0;0;0;1;1.0730165419565543
30;8;122;3;0;0;0;0;1;-0.6277626505388526
32;30;123;2;0;0;1;0;0;0.22262694570885086
32;13;124;2;1;1;0;0;1;-0.6277626505388526
54;77;125;1;0;0;0;0;1;-0.10160912295049938
12;11;126;3;0;1;1;0;0;0.22262694570885086
30;7;127;3;0;0;0;1;0;-0.6277626505388526
24;7;128;3;0;1;0;0;1;-0.6277626505388526
30;22;129;3;1;1;1;0;0;0.7487804732972041
45;6;130;3;0;0;0;0;1;-0.6277626505388526
33;7;131;3;0;0;1;0;0;-0.6277626505388526
20;7;132;3;0;0;0;0;1;-0.6277626505388526
47;14;133;3;1;0;0;0;1;0.22262694570885086
29;26;134;2;1;1;0;0;1;0.22262694570885086
25;13;135;2;0;0;0;0;1;-0.6277626505388526
23;15;136;2;0;0;1;0;0;-0.6277626505388526
19;26;137;1;1;1;0;0;1;0.424544404637854
37;53;138;1;0;0;0;0;1;0.22262694570885086
16;9;139;3;0;0;0;0;1;-0.6277626505388526
24;79;140;1;0;0;1;0;0;-0.6277626505388526
30;15;141;3;1;0;1;0;0;0.424544404637854
22;7;142;3;1;1;0;0;1;-0.6277626505388526
24;15;143;3;1;1;0;0;1;0.22262694570885086
19;6;144;3;0;0;0;1;0;-0.6277626505388526
18;11;145;2;0;0;0;0;1;-0.6277626505388526
19;36;146;2;0;0;0;0;1;0.7487804732972041
27;7;147;3;0;1;0;0;1;-0.6277626505388526
9;34;148;3;1;0;0;0;1;2.1253235971332614
36;26;149;2;0;0;0;0;1;0.424544404637854
42;13;150;2;0;0;0;0;1;-0.6277626505388526
51;12;151;2;0;0;0;0;1;-0.6277626505388526
22;66;152;1;1;1;0;0;1;0.22262694570885086
55;8;153;3;0;0;0;0;1;-0.6277626505388526
40;14;154;3;0;0;0;0;1;0.424544404637854
30;7;155;3;0;0;0;0;1;-0.6277626505388526
51;61;156;1;0;0;1;0;0;-0.10160912295049938
16;7;157;3;1;1;0;1;0;-0.6277626505388526
30;8;158;3;0;0;0;0;1;-0.6277626505388526
30;8;159;3;0;0;0;0;1;-0.6277626505388526
30;69;160;3;0;0;0;0;1;7.227661174619481
44;16;161;3;0;0;0;0;1;-0.10160912295049938
40;15;162;2;1;1;0;0;1;-0.6277626505388526
26;7;163;3;0;0;0;0;1;-0.6277626505388526
17;8;164;3;0;0;0;0;1;-0.6277626505388526
1;39;165;3;0;0;0;0;1;3.2999492620403146
9;20;166;3;0;1;0;0;1;0.424544404637854
30;55;167;1;1;1;0;0;1;-0.10160912295049938
45;27;168;3;1;0;0;0;1;2.3272410560622645
30;25;169;1;0;0;0;0;1;-0.6277626505388526
28;56;170;3;0;0;0;0;1;-0.6277626505388526
61;33;171;1;0;0;0;0;1;-0.6277626505388526
4;29;172;3;0;0;0;1;0;3.2999492620403146
1;11;173;3;1;1;0;0;1;0.7487804732972041
21;7;174;3;0;0;0;0;1;-0.6277626505388526
56;30;175;1;0;0;1;0;0;-0.6277626505388526
18;7;176;3;0;0;0;0;1;0.7487804732972041
30;25;177;3;0;0;0;0;1;2.4495596657926115
50;28;178;1;1;0;1;0;0;-0.6277626505388526
30;13;179;2;0;0;0;0;1;-0.6277626505388526
36;0;180;3;0;0;0;0;1;-0.6277626505388526
30;69;181;3;1;0;0;0;1;7.227661174619481
30;15;182;2;0;0;1;0;0;-0.6277626505388526
9;31;183;3;0;0;0;0;1;3.8261027896286683
1;39;184;2;0;1;0;0;1;1.5991700695449076
4;22;185;3;1;1;0;0;1;0.424544404637854
30;50;186;1;0;0;0;0;1;-0.6277626505388526
30;15;187;3;1;1;0;1;0;0.22262694570885086
45;26;188;1;0;1;0;0;1;-0.6277626505388526
40;15;189;3;0;0;0;1;0;0.7487804732972041
36;7;190;3;0;0;0;0;1;-0.6277626505388526
32;13;191;2;1;1;0;0;1;-0.6277626505388526
19;13;192;2;0;0;0;0;1;-0.6277626505388526
19;7;193;3;1;1;0;0;1;0.22262694570885086
3;26;194;2;0;1;0;0;1;0.7487804732972041
44;27;195;1;1;1;1;0;0;-0.6277626505388526
58;146;196;1;1;1;1;0;0;-0.6277626505388526
30;7;197;3;0;0;0;1;0;-0.6277626505388526
42;8;198;3;0;0;0;0;1;-0.10160912295049938
30;7;199;3;1;1;0;1;0;-0.6277626505388526
24;13;200;2;1;0;0;0;1;-0.6277626505388526
28;9;201;3;0;0;0;0;1;-0.6277626505388526
30;69;202;3;0;0;0;0;1;7.227661174619481
34;6;203;3;0;0;0;0;1;-0.6277626505388526
45;7;204;3;0;0;1;0;0;-0.6277626505388526
18;8;205;3;0;1;0;0;1;-0.6277626505388526
2;10;206;3;1;0;0;0;1;-0.10160912295049938
32;15;207;3;0;0;0;0;1;0.22262694570885086
26;18;208;3;0;1;1;0;0;-0.6277626505388526
16;7;209;3;1;1;0;1;0;-0.6277626505388526
40;31;210;1;0;1;1;0;0;-0.6277626505388526
24;7;211;3;0;0;0;0;1;-0.6277626505388526
35;21;212;2;1;1;0;0;1;-0.6277626505388526
22;7;213;3;0;0;0;0;1;-0.6277626505388526
30;13;214;2;0;0;0;0;1;-0.6277626505388526
30;7;215;3;0;0;0;1;0;0.22262694570885086
31;113;216;1;1;1;1;0;0;0.22262694570885086
27;7;217;3;1;1;0;0;1;-0.6277626505388526
42;27;218;2;0;0;0;0;1;0.22262694570885086
32;76;219;1;1;1;1;0;0;-0.6277626505388526
30;10;220;2;0;0;0;0;1;-0.6277626505388526
16;8;221;3;0;1;0;0;1;-0.6277626505388526
27;13;222;2;0;0;0;0;1;-0.6277626505388526
51;8;223;3;0;0;0;0;1;-0.6277626505388526
30;7;224;3;0;0;0;0;1;-0.6277626505388526
38;90;225;1;0;1;0;0;1;0.22262694570885086
22;9;226;3;0;0;0;0;1;-0.6277626505388526
19;10;227;2;0;1;0;0;1;-0.6277626505388526
20;7;228;3;0;0;0;0;1;-0.6277626505388526
18;13;229;2;0;0;0;0;1;-0.6277626505388526
30;25;230;3;1;0;0;0;1;2.4495596657926115
35;83;231;1;1;1;0;0;1;0.22262694570885086
29;7;232;3;0;0;0;0;1;-0.6277626505388526
59;13;233;2;0;0;0;0;1;-0.6277626505388526
5;31;234;3;1;1;0;0;1;3.8261027896286683
24;10;235;2;0;0;0;0;1;-0.6277626505388526
30;7;236;3;1;0;0;0;1;-0.6277626505388526
44;26;237;2;0;0;0;0;1;0.22262694570885086
8;26;238;2;1;1;0;0;1;0.424544404637854
19;10;239;2;0;0;0;0;1;-0.6277626505388526
33;12;240;2;0;0;0;0;1;-0.6277626505388526
30;14;241;3;1;0;1;0;0;0.22262694570885086
30;15;242;3;1;1;0;1;0;0.22262694570885086
29;10;243;2;0;0;0;0;1;-0.6277626505388526
22;7;244;3;0;0;0;0;1;-0.6277626505388526
30;7;245;3;0;0;1;0;0;-0.6277626505388526
44;90;246;1;0;0;0;1;0;1.0730165419565543
25;7;247;3;1;0;0;0;1;-0.6277626505388526
24;14;248;2;1;1;0;0;1;0.424544404637854
37;52;249;1;0;1;0;0;1;0.7487804732972041
54;26;250;2;0;0;0;0;1;0.22262694570885086
30;7;251;3;0;0;0;0;1;-0.6277626505388526
29;10;252;3;1;0;0;0;1;0.7487804732972041
62;26;253;1;0;0;0;0;1;-0.6277626505388526
30;16;254;3;0;0;0;0;1;0.22262694570885086
41;20;255;3;1;0;0;0;1;0.424544404637854
29;15;256;3;1;1;1;0;0;0.424544404637854
30;79;257;1;1;1;1;0;0;-0.6277626505388526
30;86;258;1;1;1;0;0;1;-0.6277626505388526
35;512;259;1;1;1;1;0;0;-0.6277626505388526
50;26;260;2;1;1;0;0;1;-0.10160912295049938
30;7;261;3;0;0;0;1;0;-0.6277626505388526
3;31;262;3;0;1;0;0;1;3.8261027896286683
52;79;263;1;0;0;0;0;1;0.7487804732972041
40;0;264;1;0;0;0;0;1;-0.6277626505388526
30;7;265;3;1;0;0;1;0;-0.6277626505388526
36;10;266;2;0;0;0;0;1;-0.6277626505388526
16;39;267;3;0;0;0;0;1;3.2999492620403146
25;7;268;3;0;1;0;0;1;0.22262694570885086
58;153;269;1;1;1;0;0;1;-0.10160912295049938
35;135;270;1;1;1;0;0;1;-0.6277626505388526
30;31;271;1;0;0;0;0;1;-0.6277626505388526
25;0;272;3;0;1;0;0;1;-0.6277626505388526
41;19;273;2;1;1;0;0;1;-0.10160912295049938
37;29;274;1;0;0;1;0;0;-0.10160912295049938
30;7;275;3;1;1;0;1;0;-0.6277626505388526
63;77;276;1;1;1;0;0;1;0.22262694570885086
45;7;277;3;1;0;0;0;1;-0.6277626505388526
30;0;278;2;0;0;0;0;1;-0.6277626505388526
7;29;279;3;0;0;0;1;0;3.2999492620403146
35;20;280;3;1;1;0;0;1;0.7487804732972041
65;7;281;3;0;0;0;1;0;-0.6277626505388526
28;7;282;3;0;0;0;0;1;-0.6277626505388526
16;9;283;3;0;0;0;0;1;-0.6277626505388526
19;8;284;3;0;1;0;0;1;-0.6277626505388526
30;26;285;1;0;0;0;0;1;-0.6277626505388526
33;8;286;3;0;0;1;0;0;-0.6277626505388526
30;9;287;3;0;1;0;0;1;-0.6277626505388526
22;7;288;3;0;0;0;0;1;-0.6277626505388526
42;13;289;2;0;1;0;0;1;-0.6277626505388526
22;7;290;3;1;1;0;1;0;-0.6277626505388526
26;78;291;1;1;1;0;0;1;-0.6277626505388526
19;91;292;1;1;1;1;0;0;0.22262694570885086
36;12;293;2;0;0;1;0;0;-0.6277626505388526
24;8;294;3;1;0;0;0;1;-0.6277626505388526
24;7;295;3;0;0;0;0;1;-0.6277626505388526
30;27;296;1;0;0;1;0;0;-0.6277626505388526
23;7;297;3;0;0;1;0;0;-0.6277626505388526
2;151;298;1;1;0;0;0;1;1.2749340008855574
30;30;299;1;0;1;0;0;1;-0.6277626505388526
50;247;300;1;1;1;1;0;0;-0.10160912295049938
30;7;301;3;1;1;0;1;0;-0.6277626505388526
30;23;302;3;0;1;0;1;0;1.0730165419565543
19;0;303;3;0;0;0;0;1;-0.6277626505388526
30;12;304;2;1;1;0;1;0;-0.6277626505388526
30;8;305;3;0;0;0;0;1;-0.6277626505388526
0;151;306;1;0;1;0;0;1;1.2749340008855574
30;110;307;1;1;1;1;0;0;-0.6277626505388526
17;108;308;1;1;1;1;0;0;0.22262694570885086
30;24;309;2;0;0;1;0;0;0.22262694570885086
30;56;310;1;1;1;1;0;0;-0.6277626505388526
24;83;311;1;1;1;1;0;0;-0.6277626505388526
18;262;312;1;1;1;1;0;0;2.1253235971332614
26;26;313;2;1;0;0;0;1;0.7487804732972041
28;7;314;3;0;0;0;0;1;-0.6277626505388526
43;26;315;2;0;0;0;0;1;0.7487804732972041
26;7;316;3;1;1;0;0;1;-0.6277626505388526
24;26;317;2;1;1;0;0;1;0.22262694570885086
54;14;318;2;0;0;0;0;1;-0.6277626505388526
31;164;319;1;1;1;0;0;1;0.424544404637854
40;134;320;1;1;1;1;0;0;0.7487804732972041
22;7;321;3;0;0;0;0;1;-0.6277626505388526
27;7;322;3;0;0;0;0;1;-0.6277626505388526
30;12;323;2;1;1;0;1;0;-0.6277626505388526
22;29;324;2;1;1;0;0;1;0.7487804732972041
30;69;325;3;0;0;0;0;1;7.227661174619481
36;135;326;1;1;1;1;0;0;-0.6277626505388526
61;6;327;3;0;0;0;0;1;-0.6277626505388526
36;13;328;2;1;1;0;0;1;-0.6277626505388526
31;20;329;3;1;1;0;0;1;0.7487804732972041
16;57;330;1;1;1;1;0;0;-0.10160912295049938
30;23;331;3;1;1;0;1;0;1.0730165419565543
45;28;332;1;0;0;0;0;1;-0.6277626505388526
38;153;333;1;0;0;0;0;1;-0.10160912295049938
16;18;334;3;0;0;0;0;1;1.0730165419565543
30;133;335;1;1;1;0;0;1;0.22262694570885086
30;7;336;3;0;0;0;0;1;-0.6277626505388526
29;66;337;1;0;0;0;0;1;0.22262694570885086
41;134;338;1;1;1;1;0;0;-0.6277626505388526
45;8;339;3;0;1;0;0;1;-0.6277626505388526
45;35;340;1;0;0;0;0;1;-0.6277626505388526
2;26;341;2;0;1;0;0;1;0.7487804732972041
24;263;342;1;1;1;0;0;1;2.975713193380964
28;13;343;2;0;0;0;0;1;-0.6277626505388526
25;13;344;2;0;0;0;0;1;-0.6277626505388526
36;13;345;2;0;0;0;0;1;-0.6277626505388526
24;13;346;2;1;1;0;0;1;-0.6277626505388526
40;13;347;2;1;1;0;0;1;-0.6277626505388526
30;16;348;3;1;1;0;0;1;0.22262694570885086
3;15;349;3;0;1;0;0;1;0.7487804732972041
42;8;350;3;0;0;0;0;1;-0.6277626505388526
23;9;351;3;0;0;0;0;1;-0.6277626505388526
30;35;352;1;0;0;0;0;1;-0.6277626505388526
15;7;353;3;0;0;1;0;0;0.7487804732972041
25;17;354;3;0;0;0;0;1;0.22262694570885086
30;7;355;3;0;0;1;0;0;-0.6277626505388526
28;9;356;3;0;0;0;0;1;-0.6277626505388526
22;55;357;1;1;1;0;0;1;-0.10160912295049938
38;13;358;2;1;0;0;0;1;-0.6277626505388526
30;7;359;3;1;1;0;1;0;-0.6277626505388526
30;7;360;3;1;1;0;1;0;-0.6277626505388526
40;27;361;3;0;0;0;0;1;2.3272410560622645
29;27;362;2;0;0;1;0;0;0.22262694570885086
45;14;363;3;1;0;1;0;0;-0.10160912295049938
35;7;364;3;0;0;0;0;1;-0.6277626505388526
30;15;365;3;0;0;0;1;0;0.22262694570885086
30;7;366;3;0;0;0;0;1;-0.6277626505388526
60;75;367;1;1;1;1;0;0;0.22262694570885086
30;7;368;3;1;1;1;0;0;-0.6277626505388526
30;7;369;3;1;1;0;1;0;-0.6277626505388526
24;69;370;1;1;1;1;0;0;-0.6277626505388526
25;55;371;1;0;1;1;0;0;0.22262694570885086
18;6;372;3;0;0;0;0;1;0.22262694570885086
19;8;373;3;0;0;0;0;1;-0.6277626505388526
22;135;374;1;0;0;1;0;0;-0.6277626505388526
3;21;375;3;1;0;0;0;1;2.4495596657926115
30;82;376;1;1;1;1;0;0;0.22262694570885086
22;7;377;3;1;1;0;0;1;-0.6277626505388526
27;211;378;1;0;0;1;0;0;0.424544404637854
20;4;379;3;0;0;1;0;0;-0.6277626505388526
19;7;380;3;0;0;0;0;1;-0.6277626505388526
42;227;381;1;1;1;1;0;0;-0.6277626505388526
1;15;382;3;1;1;1;0;0;0.424544404637854
32;7;383;3;0;0;0;0;1;-0.6277626505388526
35;52;384;1;1;1;0;0;1;0.22262694570885086
30;7;385;3;0;0;0;0;1;-0.6277626505388526
18;73;386;2;0;0;0;0;1;-0.6277626505388526
1;46;387;3;0;0;0;0;1;4.676492385876371
36;13;388;2;1;1;0;0;1;-0.6277626505388526
30;7;389;3;0;0;0;1;0;-0.6277626505388526
17;12;390;2;1;1;1;0;0;-0.6277626505388526
36;120;391;1;0;1;0;0;1;1.2749340008855574
21;7;392;3;0;1;0;0;1;-0.6277626505388526
28;7;393;3;0;0;0;0;1;1.0730165419565543
23;113;394;1;1;1;1;0;0;0.22262694570885086
24;16;395;3;1;1;0;0;1;0.424544404637854
22;7;396;3;0;0;0;0;1;-0.6277626505388526
31;7;397;3;1;0;0;0;1;-0.6277626505388526
46;26;398;2;0;0;0;0;1;-0.6277626505388526
23;10;399;2;0;0;0;0;1;-0.6277626505388526
28;12;400;2;1;1;0;0;1;-0.6277626505388526
39;7;401;3;0;1;0;0;1;-0.6277626505388526
26;8;402;3;0;0;0;0;1;-0.6277626505388526
21;9;403;3;1;0;0;0;1;0.22262694570885086
28;15;404;3;0;0;0;0;1;0.22262694570885086
20;8;405;3;1;0;0;0;1;-0.6277626505388526
34;21;406;2;0;0;0;0;1;0.22262694570885086
51;7;407;3;0;0;0;0;1;-0.6277626505388526
3;18;408;2;0;1;0;0;1;0.7487804732972041
21;7;409;3;0;0;0;0;1;-0.6277626505388526
30;25;410;3;1;0;0;0;1;2.4495596657926115
30;7;411;3;0;0;0;0;1;-0.6277626505388526
30;6;412;3;0;0;0;1;0;-0.6277626505388526
33;90;413;1;1;1;0;1;0;0.22262694570885086
30;0;414;2;0;0;0;0;1;-0.6277626505388526
44;7;415;3;0;1;0;0;1;-0.6277626505388526
30;8;416;3;1;0;0;0;1;-0.6277626505388526
34;32;417;2;1;1;0;0;1;0.7487804732972041
18;13;418;2;1;1;0;0;1;0.424544404637854
30;13;419;2;0;0;0;0;1;-0.6277626505388526
10;24;420;3;1;0;0;0;1;0.424544404637854
30;7;421;3;0;0;1;0;0;-0.6277626505388526
21;7;422;3;0;0;0;1;0;-0.6277626505388526
29;7;423;3;0;0;0;0;1;-0.6277626505388526
28;14;424;3;1;0;0;0;1;0.7487804732972041
18;20;425;3;0;0;0;0;1;0.7487804732972041
30;7;426;3;0;0;0;0;1;-0.6277626505388526
28;26;427;2;1;1;0;0;1;0.22262694570885086
19;26;428;2;1;1;0;0;1;-0.6277626505388526
30;7;429;3;0;0;0;1;0;-0.6277626505388526
32;8;430;3;0;1;0;0;1;-0.6277626505388526
28;26;431;1;0;1;0;0;1;-0.6277626505388526
30;16;432;3;1;1;0;0;1;0.22262694570885086
42;26;433;2;1;1;0;0;1;0.22262694570885086
17;7;434;3;0;0;0;0;1;-0.6277626505388526
50;55;435;1;0;0;0;0;1;0.22262694570885086
14;120;436;1;1;1;0;0;1;1.2749340008855574
21;34;437;3;1;0;0;0;1;2.1253235971332614
24;18;438;2;1;1;0;0;1;2.6514771247216142
64;263;439;1;0;0;0;0;1;2.3272410560622645
31;10;440;2;0;0;0;0;1;-0.6277626505388526
45;26;441;2;1;1;0;0;1;0.7487804732972041
20;9;442;3;0;0;0;0;1;-0.6277626505388526
25;7;443;3;0;0;0;0;1;0.22262694570885086
28;13;444;2;1;1;0;0;1;-0.6277626505388526
30;8;445;3;0;1;0;0;1;-0.6277626505388526
